pair,method,scope,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
imdb+mrpc,mean,late,imdb,1.062487006187439,0.7665,0.7700640078778926,0.7665,0.7725,0.9922330097087378,-0.006000000000000005
imdb+mrpc,mean,late,mrpc,1.0998724699020386,0.7303921568627451,0.8297213622291022,0.8297213622291022,0.8349514563106796,0.9937360501115992,-0.005230094081577374
imdb+mrpc,mean,blocks_all,imdb,1.1884620189666748,0.7265,0.6966167498613423,0.7265,0.7725,0.940453074433657,-0.04599999999999993
imdb+mrpc,mean,blocks_all,mrpc,1.1495028734207153,0.7058823529411765,0.8219584569732937,0.8219584569732937,0.8349514563106796,0.9844386170726658,-0.012992999337385847
imdb+mrpc,mean,full,imdb,1.2113739252090454,0.7205,0.6781807714450202,0.7205,0.7725,0.932686084142395,-0.051999999999999935
imdb+mrpc,mean,full,mrpc,1.1531813144683838,0.7009803921568627,0.8195266272189349,0.8195266272189349,0.8349514563106796,0.9815260767854685,-0.015424829091744696
imdb+mrpc,ties,embeddings,imdb,0.9806379079818726,0.7715,0.7557455905932656,0.7715,0.7725,0.998705501618123,-0.0010000000000000009
imdb+mrpc,ties,embeddings,mrpc,1.0574711561203003,0.7475490196078431,0.833063209076175,0.833063209076175,0.8349514563106796,0.997738494591233,-0.0018882472345045365
imdb+mrpc,ties,early,imdb,1.069814682006836,0.7355,0.6756591048436542,0.7355,0.7725,0.9521035598705503,-0.03699999999999992
imdb+mrpc,ties,early,mrpc,1.0862910747528076,0.7230392156862745,0.8258859784283513,0.8258859784283513,0.8349514563106796,0.9891425090479092,-0.009065477882328254
imdb+mrpc,ties,late,imdb,1.030970573425293,0.767,0.7776717557251909,0.767,0.7725,0.9928802588996765,-0.005499999999999949
imdb+mrpc,ties,late,mrpc,1.0900921821594238,0.7401960784313726,0.8333333333333334,0.8333333333333334,0.8349514563106796,0.9980620155038761,-0.0016181229773462036
imdb+mrpc,ties,blocks_all,imdb,1.1101970672607422,0.753,0.7522567703109327,0.753,0.7725,0.9747572815533981,-0.019499999999999962
imdb+mrpc,ties,blocks_all,mrpc,1.1356405019760132,0.7083333333333334,0.8221225710014948,0.8221225710014948,0.8349514563106796,0.9846351722459763,-0.012828885309184801
imdb+mrpc,ties,full,imdb,1.123571515083313,0.749,0.7357894736842105,0.749,0.7725,0.96957928802589,-0.023499999999999965
imdb+mrpc,ties,full,mrpc,1.1380492448806763,0.7083333333333334,0.8221225710014948,0.8221225710014948,0.8349514563106796,0.9846351722459763,-0.012828885309184801
