task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
sst2,rte,sst2+rte,task_arithmetic,0.75,,rte,1.3500620126724243,0.5956678700361011,0.5590551181102362,0.5956678700361011,0.6064981949458483,0.9821428571428572,-0.010830324909747224
sst2,rte,sst2+rte,task_arithmetic,1.0,,sst2,1.2397743463516235,0.6594036697247706,0.7428571428571429,0.6594036697247706,0.7752293577981652,0.8505917159763313,-0.11582568807339455
sst2,rte,sst2+rte,task_arithmetic,1.0,,rte,1.381369948387146,0.5703971119133574,0.5882352941176471,0.5703971119133574,0.6064981949458483,0.9404761904761906,-0.03610108303249093
sst2,rte,sst2+rte,ties,0.5,0.1,sst2,1.3731657266616821,0.5126146788990825,0.6763137852246763,0.5126146788990825,0.7752293577981652,0.6612426035502957,-0.26261467889908263
sst2,rte,sst2+rte,ties,0.5,0.1,rte,1.365883469581604,0.5306859205776173,0.5695364238410596,0.5306859205776173,0.6064981949458483,0.875,-0.07581227436823101
sst2,rte,sst2+rte,ties,0.75,0.1,sst2,1.345924973487854,0.5240825688073395,0.6810146041506533,0.5240825688073395,0.7752293577981652,0.67603550295858,-0.25114678899082565
sst2,rte,sst2+rte,ties,0.75,0.1,rte,1.3578733205795288,0.5848375451263538,0.5848375451263538,0.5848375451263538,0.6064981949458483,0.9642857142857143,-0.02166064981949456
sst2,rte,sst2+rte,ties,1.0,0.1,sst2,1.3164546489715576,0.5538990825688074,0.6939417781274587,0.5538990825688074,0.7752293577981652,0.7144970414201184,-0.22133027522935778
sst2,rte,sst2+rte,ties,1.0,0.1,rte,1.3521283864974976,0.6137184115523465,0.5868725868725869,0.6137184115523465,0.6064981949458483,1.0119047619047619,0.0072202166064981865
sst2,rte,sst2+rte,ties,0.5,0.2,sst2,1.3430585861206055,0.5229357798165137,0.68,0.5229357798165137,0.7752293577981652,0.6745562130177515,-0.2522935779816514
sst2,rte,sst2+rte,ties,0.5,0.2,rte,1.3599088191986084,0.5740072202166066,0.572463768115942,0.5740072202166066,0.6064981949458483,0.9464285714285716,-0.032490974729241784
sst2,rte,sst2+rte,ties,0.75,0.2,sst2,1.2954959869384766,0.5814220183486238,0.7068273092369478,0.5814220183486238,0.7752293577981652,0.75,-0.19380733944954132
sst2,rte,sst2+rte,ties,0.75,0.2,rte,1.3529250621795654,0.5956678700361011,0.5658914728682171,0.5956678700361011,0.6064981949458483,0.9821428571428572,-0.010830324909747224
sst2,rte,sst2+rte,ties,1.0,0.2,sst2,1.2481778860092163,0.6307339449541285,0.7280405405405406,0.6307339449541285,0.7752293577981652,0.8136094674556213,-0.14449541284403666
sst2,rte,sst2+rte,ties,1.0,0.2,rte,1.3530064821243286,0.5812274368231047,0.536,0.5812274368231047,0.6064981949458483,0.9583333333333335,-0.025270758122743597
sst2,rte,sst2+rte,ties,0.5,0.5,sst2,1.2987933158874512,0.569954128440367,0.7016706443914081,0.569954128440367,0.7752293577981652,0.735207100591716,-0.20527522935779818
sst2,rte,sst2+rte,ties,0.5,0.5,rte,1.36366605758667,0.5342960288808665,0.568561872909699,0.5342960288808665,0.6064981949458483,0.880952380952381,-0.07220216606498187
sst2,rte,sst2+rte,ties,0.75,0.5,sst2,1.2229499816894531,0.6456422018348624,0.7347639484978541,0.6456422018348624,0.7752293577981652,0.8328402366863906,-0.12958715596330272
sst2,rte,sst2+rte,ties,0.75,0.5,rte,1.3650259971618652,0.5595667870036101,0.5763888888888888,0.5595667870036101,0.6064981949458483,0.9226190476190476,-0.04693140794223827
sst2,rte,sst2+rte,ties,1.0,0.5,sst2,1.160415530204773,0.6915137614678899,0.7552320291173794,0.6915137614678899,0.7752293577981652,0.8920118343195266,-0.08371559633027525
sst2,rte,sst2+rte,ties,1.0,0.5,rte,1.3818340301513672,0.5306859205776173,0.5547945205479452,0.5306859205776173,0.6064981949458483,0.875,-0.07581227436823101
imdb,mrpc,imdb+mrpc,mean,1.0,,imdb,1.2113739252090454,0.7205,0.6781807714450202,0.7205,0.7725,0.932686084142395,-0.051999999999999935
imdb,mrpc,imdb+mrpc,mean,1.0,,mrpc,1.1531813144683838,0.7009803921568627,0.8195266272189349,0.8195266272189349,0.8349514563106796,0.9815260767854685,-0.015424829091744696
imdb,mrpc,imdb+mrpc,task_arithmetic,0.5,,imdb,1.2113739252090454,0.7205,0.6781807714450202,0.7205,0.7725,0.932686084142395,-0.051999999999999935
imdb,mrpc,imdb+mrpc,task_arithmetic,0.5,,mrpc,1.1531813144683838,0.7009803921568627,0.8195266272189349,0.8195266272189349,0.8349514563106796,0.9815260767854685,-0.015424829091744696
imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,imdb,1.1656237840652466,0.693,0.5868102288021534,0.693,0.7725,0.8970873786407767,-0.07950000000000002
imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,mrpc,1.1050945520401,0.7279411764705882,0.8284389489953632,0.8284389489953632,0.8349514563106796,0.9922001365874699,-0.006512507315316385
imdb,mrpc,imdb+mrpc,task_arithmetic,1.0,,imdb,1.1421208381652832,0.693,0.5817438692098093,0.693,0.7725,0.8970873786407767,-0.07950000000000002
imdb,mrpc,imdb+mrpc,task_arithmetic,1.0,,mrpc,1.100087285041809,0.7303921568627451,0.8220064724919094,0.8220064724919094,0.8349514563106796,0.9844961240310078,-0.012944983818770184
imdb,mrpc,imdb+mrpc,ties,0.5,0.1,imdb,1.3790197372436523,0.5095,0.6702521008403362,0.5095,0.7725,0.659546925566343,-0.263
imdb,mrpc,imdb+mrpc,ties,0.5,0.1,mrpc,1.2582744359970093,0.6838235294117647,0.8122270742358079,0.8122270742358079,0.8349514563106796,0.9727835889103281,-0.022724382074871707
imdb,mrpc,imdb+mrpc,ties,0.75,0.1,imdb,1.3070189952850342,0.5825,0.6993158084263594,0.5825,0.7725,0.7540453074433657,-0.18999999999999995
imdb,mrpc,imdb+mrpc,ties,0.75,0.1,mrpc,1.223178505897522,0.6911764705882353,0.8157894736842105,0.8157894736842105,0.8349514563106796,0.9770501835985312,-0.019161982626469065
imdb,mrpc,imdb+mrpc,ties,1.0,0.1,imdb,1.225815773010254,0.6905,0.7447422680412371,0.6905,0.7725,0.8938511326860842,-0.08199999999999996
imdb,mrpc,imdb+mrpc,ties,1.0,0.1,mrpc,1.1874277591705322,0.6985294117647058,0.8183161004431314,0.8183161004431314,0.8349514563106796,0.9800762598330528,-0.016635355867548163
imdb,mrpc,imdb+mrpc,ties,0.5,0.2,imdb,1.313414216041565,0.5845,0.6983666061705989,0.5845,0.7725,0.7566343042071199,-0.18799999999999994
imdb,mrpc,imdb+mrpc,ties,0.5,0.2,mrpc,1.225478172302246,0.6862745098039216,0.8134110787172012,0.8134110787172012,0.8349514563106796,0.9742016407892061,-0.021540377593478377
imdb,mrpc,imdb+mrpc,ties,0.75,0.2,imdb,1.213796854019165,0.7215,0.7473922902494331,0.7215,0.7725,0.933980582524272,-0.050999999999999934
imdb,mrpc,imdb+mrpc,ties,0.75,0.2,mrpc,1.1769284009933472,0.6985294117647058,0.8183161004431314,0.8183161004431314,0.8349514563106796,0.9800762598330528,-0.016635355867548163
imdb,mrpc,imdb+mrpc,ties,1.0,0.2,imdb,1.123571515083313,0.749,0.7357894736842105,0.749,0.7725,0.96957928802589,-0.023499999999999965
imdb,mrpc,imdb+mrpc,ties,1.0,0.2,mrpc,1.1380492448806763,0.7083333333333334,0.8221225710014948,0.8221225710014948,0.8349514563106796,0.9846351722459763,-0.012828885309184801
imdb,mrpc,imdb+mrpc,ties,0.5,0.5,imdb,1.2623502016067505,0.691,0.7277533039647577,0.691,0.7725,0.8944983818770226,-0.08150000000000002
imdb,mrpc,imdb+mrpc,ties,0.5,0.5,mrpc,1.199649691581726,0.6911764705882353,0.8157894736842105,0.8157894736842105,0.8349514563106796,0.9770501835985312,-0.019161982626469065
imdb,mrpc,imdb+mrpc,ties,0.75,0.5,imdb,1.172505497932434,0.7305,0.6949632144878325,0.7305,0.7725,0.9456310679611651,-0.041999999999999926
imdb,mrpc,imdb+mrpc,ties,0.75,0.5,mrpc,1.1497913599014282,0.7058823529411765,0.8219584569732937,0.8219584569732937,0.8349514563106796,0.9844386170726658,-0.012992999337385847
imdb,mrpc,imdb+mrpc,ties,1.0,0.5,imdb,1.1235276460647583,0.7185,0.643445218492717,0.7185,0.7725,0.9300970873786408,-0.05399999999999994
imdb,mrpc,imdb+mrpc,ties,1.0,0.5,mrpc,1.1175882816314697,0.7132352941176471,0.8213740458015267,0.8213740458015267,0.8349514563106796,0.9837386827622937,-0.013577410509152843
imdb,rte,imdb+rte,mean,1.0,,imdb,1.2444524765014648,0.65,0.7309761721752498,0.65,0.7725,0.8414239482200648,-0.12249999999999994
imdb,rte,imdb+rte,mean,1.0,,rte,1.3762098550796509,0.555956678700361,0.616822429906542,0.555956678700361,0.6064981949458483,0.9166666666666667,-0.050541516245487306
imdb,rte,imdb+rte,task_arithmetic,0.5,,imdb,1.2444524765014648,0.65,0.7309761721752498,0.65,0.7725,0.8414239482200648,-0.12249999999999994
imdb,rte,imdb+rte,task_arithmetic,0.5,,rte,1.3762098550796509,0.555956678700361,0.616822429906542,0.555956678700361,0.6064981949458483,0.9166666666666667,-0.050541516245487306
imdb,rte,imdb+rte,task_arithmetic,0.75,,imdb,1.176779866218567,0.6875,0.7520825069416898,0.6875,0.7725,0.8899676375404532,-0.08499999999999996
imdb,rte,imdb+rte,task_arithmetic,0.75,,rte,1.419699788093567,0.5126353790613718,0.6131805157593123,0.5126353790613718,0.6064981949458483,0.8452380952380952,-0.09386281588447654
imdb,rte,imdb+rte,task_arithmetic,1.0,,imdb,1.194723129272461,0.683,0.7529228371005456,0.683,0.7725,0.8841423948220066,-0.08949999999999991
