phase,seed,pair,task,method,early_factor,primary_metric,score,specialist_score,retained
development,42,mrpc+rte,rte,adaptive_mean,0.25,accuracy,0.5342960288808665,0.6064981949458483,0.880952380952381
development,42,mrpc+rte,mrpc,adaptive_mean,0.5,f1,0.8201219512195121,0.8349514563106796,0.9822390811117413
development,42,mrpc+rte,rte,adaptive_mean,0.5,accuracy,0.5270758122743683,0.6064981949458483,0.8690476190476192
development,42,mrpc+rte,mrpc,adaptive_mean,0.75,f1,0.8274809160305343,0.8349514563106796,0.9910527250133144
development,42,mrpc+rte,rte,adaptive_mean,0.75,accuracy,0.5306859205776173,0.6064981949458483,0.875
development,42,mrpc+rte,mrpc,adaptive_mean,1.0,f1,0.8282208588957055,0.8349514563106796,0.991938935654159
development,42,mrpc+rte,rte,adaptive_mean,1.0,accuracy,0.5342960288808665,0.6064981949458483,0.880952380952381
development,42,mrpc+rte,mrpc,ties,1.0,f1,0.8348909657320872,0.8349514563106796,0.9999275519814533
development,42,mrpc+rte,rte,ties,1.0,accuracy,0.5523465703971119,0.6064981949458483,0.9107142857142857
development,42,mrpc+rte,mrpc,adaptive_ties,0.25,f1,0.8280060882800608,0.8349514563106796,0.9916817103819334
development,42,mrpc+rte,rte,adaptive_ties,0.25,accuracy,0.516245487364621,0.6064981949458483,0.8511904761904763
development,42,mrpc+rte,mrpc,adaptive_ties,0.5,f1,0.8318042813455657,0.8349514563106796,0.9962307090534102
development,42,mrpc+rte,rte,adaptive_ties,0.5,accuracy,0.5342960288808665,0.6064981949458483,0.880952380952381
development,42,mrpc+rte,mrpc,adaptive_ties,0.75,f1,0.8276923076923077,0.8349514563106796,0.9913059033989268
development,42,mrpc+rte,rte,adaptive_ties,0.75,accuracy,0.5379061371841155,0.6064981949458483,0.886904761904762
development,42,mrpc+rte,mrpc,adaptive_ties,1.0,f1,0.8348909657320872,0.8349514563106796,0.9999275519814533
development,42,mrpc+rte,rte,adaptive_ties,1.0,accuracy,0.5523465703971119,0.6064981949458483,0.9107142857142857
